sample_id,record_submit_time,sample_parameters,sample_holderno,sample_status,result_print,result_email,result_location_id,result_subfolder_id,sample_duration,exp_id,exp_name,exp_default_parameters,exp_composite,exp_description,exp_hidden,exp_type,user_id,user_trained,user_active,user_head,group_id,group_abbr,group_name,group_searchable,group_status,solvent_id,solvent_abbr,solvent_name,cat_id,cat_abbr,cat_name,cat_color,spectrometer_id,spectrometer_name,spectrometer_capacity
33958,26/07/2013 17:47,default,3,ARCHIVED,not_printed,emailed,8,10,00:00:57,1,proton.a.and,ns = 8 ; d1 = 1 ; expt = 1m 9s ; ds = 2 ; td1 = 1,non_composite,1H Observe  ,visible,research_teaching,50,FALSE,inactive,FALSE,14,njw,NJW Group,TRUE,active,1,CDCl3,Chloroform-d,0,default,Default,FFFFFF,4,Felix,60
33959,26/07/2013 17:47,default,4,ARCHIVED,not_printed,emailed,8,10,00:00:57,1,proton.a.and,ns = 8 ; d1 = 1 ; expt = 1m 9s ; ds = 2 ; td1 = 1,non_composite,1H Observe  ,visible,research_teaching,50,FALSE,inactive,FALSE,14,njw,NJW Group,TRUE,active,1,CDCl3,Chloroform-d,0,default,Default,FFFFFF,4,Felix,60
33963,26/07/2013 17:49,o1p#-120,16,ARCHIVED,not_printed,emailed,10,10,00:02:09,21,f19cpd_80ppm.a.and,ns = 64 ; d1 = 1 ; expt = 2m 24s ; ds = 4 ; td1 = 1 ,non_composite,19F Observe with 1H decoupling - SW 80 ppm,visible,research_only,8,FALSE,active,FALSE,2,dp,DP Group,TRUE,active,8,Tol,toluene-d8,3,PhD,PhD Students,7ADB18,5,Alec,60
33964,26/07/2013 17:49,o1p#-120,17,ARCHIVED,not_printed,emailed,10,10,00:02:09,21,f19cpd_80ppm.a.and,ns = 64 ; d1 = 1 ; expt = 2m 24s ; ds = 4 ; td1 = 1 ,non_composite,19F Observe with 1H decoupling - SW 80 ppm,visible,research_only,8,FALSE,active,FALSE,2,dp,DP Group,TRUE,active,8,Tol,toluene-d8,3,PhD,PhD Students,7ADB18,5,Alec,60
33965,26/07/2013 17:49,o1p#-120,18,ARCHIVED,not_printed,emailed,10,10,00:02:09,21,f19cpd_80ppm.a.and,ns = 64 ; d1 = 1 ; expt = 2m 24s ; ds = 4 ; td1 = 1 ,non_composite,19F Observe with 1H decoupling - SW 80 ppm,visible,research_only,8,FALSE,active,FALSE,2,dp,DP Group,TRUE,active,8,Tol,toluene-d8,3,PhD,PhD Students,7ADB18,5,Alec,60
33969,26/07/2013 17:52,default,19,ARCHIVED,not_printed,emailed,10,10,00:00:57,1,proton.a.and,ns = 8 ; d1 = 1 ; expt = 1m 9s ; ds = 2 ; td1 = 1,non_composite,1H Observe  ,visible,research_teaching,45,FALSE,active,FALSE,8,doh,DOH Group,TRUE,active,1,CDCl3,Chloroform-d,2,PostDoc,Contract Research Staff,FF8636,5,Alec,60
33970,26/07/2013 17:52,default,19,ARCHIVED,not_printed,emailed,10,11,00:01:45,20,f19cpd.a.and,ns = 64 ; d1 = 1 ; expt = 2m 9s ; ds = 4 ; td1 = 1 ,non_composite,19F Observe with 1H decoupling - Full Range SW,visible,research_only,45,FALSE,active,FALSE,8,doh,DOH Group,TRUE,active,1,CDCl3,Chloroform-d,2,PostDoc,Contract Research Staff,FF8636,5,Alec,60
33971,26/07/2013 17:52,default,20,ARCHIVED,not_printed,emailed,10,10,00:00:57,1,proton.a.and,ns = 8 ; d1 = 1 ; expt = 1m 9s ; ds = 2 ; td1 = 1,non_composite,1H Observe  ,visible,research_teaching,45,FALSE,active,FALSE,8,doh,DOH Group,TRUE,active,1,CDCl3,Chloroform-d,2,PostDoc,Contract Research Staff,FF8636,5,Alec,60
33972,26/07/2013 17:52,default,20,ARCHIVED,not_printed,emailed,10,11,00:01:45,20,f19cpd.a.and,ns = 64 ; d1 = 1 ; expt = 2m 9s ; ds = 4 ; td1 = 1 ,non_composite,19F Observe with 1H decoupling - Full Range SW,visible,research_only,45,FALSE,active,FALSE,8,doh,DOH Group,TRUE,active,1,CDCl3,Chloroform-d,2,PostDoc,Contract Research Staff,FF8636,5,Alec,60
33973,26/07/2013 17:52,default,21,ARCHIVED,not_printed,emailed,10,10,00:00:57,1,proton.a.and,ns = 8 ; d1 = 1 ; expt = 1m 9s ; ds = 2 ; td1 = 1,non_composite,1H Observe  ,visible,research_teaching,45,FALSE,active,FALSE,8,doh,DOH Group,TRUE,active,1,CDCl3,Chloroform-d,2,PostDoc,Contract Research Staff,FF8636,5,Alec,60
33974,26/07/2013 17:52,default,21,ARCHIVED,not_printed,emailed,10,11,00:01:45,20,f19cpd.a.and,ns = 64 ; d1 = 1 ; expt = 2m 9s ; ds = 4 ; td1 = 1 ,non_composite,19F Observe with 1H decoupling - Full Range SW,visible,research_only,45,FALSE,active,FALSE,8,doh,DOH Group,TRUE,active,1,CDCl3,Chloroform-d,2,PostDoc,Contract Research Staff,FF8636,5,Alec,60
33976,26/07/2013 18:08,default,22,ARCHIVED,not_printed,emailed,10,10,00:00:57,1,proton.a.and,ns = 8 ; d1 = 1 ; expt = 1m 9s ; ds = 2 ; td1 = 1,non_composite,1H Observe  ,visible,research_teaching,25,FALSE,active,FALSE,8,doh,DOH Group,TRUE,active,1,CDCl3,Chloroform-d,2,PostDoc,Contract Research Staff,FF8636,5,Alec,60
33977,26/07/2013 18:08,default,22,ARCHIVED,not_printed,emailed,10,11,00:01:45,20,f19cpd.a.and,ns = 64 ; d1 = 1 ; expt = 2m 9s ; ds = 4 ; td1 = 1 ,non_composite,19F Observe with 1H decoupling - Full Range SW,visible,research_only,25,FALSE,active,FALSE,8,doh,DOH Group,TRUE,active,1,CDCl3,Chloroform-d,2,PostDoc,Contract Research Staff,FF8636,5,Alec,60
33992,26/07/2013 19:35,default,6,ARCHIVED,not_printed,emailed,8,10,00:00:57,1,proton.a.and,ns = 8 ; d1 = 1 ; expt = 1m 9s ; ds = 2 ; td1 = 1,non_composite,1H Observe  ,visible,research_teaching,2,TRUE,active,TRUE,3,tl,admin,TRUE,active,1,CDCl3,Chloroform-d,1,PI,PI - Group Leaders,3392FF,4,Felix,60
33994,26/07/2013 19:36,default,1,ARCHIVED,not_printed,emailed,8,10,00:00:57,1,proton.a.and,ns = 8 ; d1 = 1 ; expt = 1m 9s ; ds = 2 ; td1 = 1,non_composite,1H Observe  ,visible,research_teaching,2,TRUE,active,TRUE,3,tl,admin,TRUE,active,1,CDCl3,Chloroform-d,1,PI,PI - Group Leaders,3392FF,4,Felix,60
33997,26/07/2013 19:39,default,5,ARCHIVED,not_printed,emailed,8,10,00:00:57,1,proton.a.and,ns = 8 ; d1 = 1 ; expt = 1m 9s ; ds = 2 ; td1 = 1,non_composite,1H Observe  ,visible,research_teaching,2,TRUE,active,TRUE,3,tl,admin,TRUE,active,1,CDCl3,Chloroform-d,1,PI,PI - Group Leaders,3392FF,4,Felix,60
34017,28/07/2013 15:06,default,7,ARCHIVED,not_printed,emailed,8,10,00:00:00,1,proton.a.and,ns = 8 ; d1 = 1 ; expt = 1m 9s ; ds = 2 ; td1 = 1,non_composite,1H Observe  ,visible,research_teaching,162,FALSE,active,FALSE,1,ads,ADS Group,TRUE,active,1,CDCl3,Chloroform-d,3,PhD,PhD Students,7ADB18,4,Felix,60
34018,28/07/2013 15:06,default,7,ARCHIVED,not_printed,emailed,8,11,00:00:00,20,f19cpd.a.and,ns = 64 ; d1 = 1 ; expt = 2m 9s ; ds = 4 ; td1 = 1 ,non_composite,19F Observe with 1H decoupling - Full Range SW,visible,research_only,162,FALSE,active,FALSE,1,ads,ADS Group,TRUE,active,1,CDCl3,Chloroform-d,3,PhD,PhD Students,7ADB18,4,Felix,60
34020,28/07/2013 16:25,default,8,ARCHIVED,not_printed,emailed,8,10,00:00:00,1,proton.a.and,ns = 8 ; d1 = 1 ; expt = 1m 9s ; ds = 2 ; td1 = 1,non_composite,1H Observe  ,visible,research_teaching,162,FALSE,active,FALSE,1,ads,ADS Group,TRUE,active,1,CDCl3,Chloroform-d,3,PhD,PhD Students,7ADB18,4,Felix,60
34030,29/07/2013 10:55,default,1,ARCHIVED,not_printed,emailed,10,10,00:00:00,1,proton.a.and,ns = 8 ; d1 = 1 ; expt = 1m 9s ; ds = 2 ; td1 = 1,non_composite,1H Observe  ,visible,research_teaching,84,FALSE,inactive,FALSE,23,spn,SPN Group,TRUE,inactive,8,Tol,toluene-d8,0,default,Default,FFFFFF,5,Alec,60
34031,29/07/2013 10:55,default,1,ARCHIVED,not_printed,emailed,10,11,00:00:00,20,f19cpd.a.and,ns = 64 ; d1 = 1 ; expt = 2m 9s ; ds = 4 ; td1 = 1 ,non_composite,19F Observe with 1H decoupling - Full Range SW,visible,research_only,84,FALSE,inactive,FALSE,23,spn,SPN Group,TRUE,inactive,8,Tol,toluene-d8,0,default,Default,FFFFFF,5,Alec,60
34035,29/07/2013 12:04,default,1,ARCHIVED,not_printed,emailed,10,10,00:00:57,1,proton.a.and,ns = 8 ; d1 = 1 ; expt = 1m 9s ; ds = 2 ; td1 = 1,non_composite,1H Observe  ,visible,research_teaching,2,TRUE,active,TRUE,3,tl,admin,TRUE,active,1,CDCl3,Chloroform-d,1,PI,PI - Group Leaders,3392FF,5,Alec,60
34039,29/07/2013 14:11,default,2,ARCHIVED,not_printed,emailed,10,10,00:00:57,1,proton.a.and,ns = 8 ; d1 = 1 ; expt = 1m 9s ; ds = 2 ; td1 = 1,non_composite,1H Observe  ,visible,research_teaching,71,FALSE,inactive,FALSE,9,erk,ERK Group,TRUE,active,10,CD2Cl2,dichloromethane-d2,0,default,Default,FFFFFF,5,Alec,60
34040,29/07/2013 14:11,o1p#-80,2,ARCHIVED,not_printed,emailed,10,11,00:02:09,21,f19cpd_80ppm.a.and,ns = 64 ; d1 = 1 ; expt = 2m 24s ; ds = 4 ; td1 = 1 ,non_composite,19F Observe with 1H decoupling - SW 80 ppm,visible,research_only,71,FALSE,inactive,FALSE,9,erk,ERK Group,TRUE,active,10,CD2Cl2,dichloromethane-d2,0,default,Default,FFFFFF,5,Alec,60
34042,29/07/2013 14:24,default,3,ARCHIVED,not_printed,emailed,10,10,00:00:57,1,proton.a.and,ns = 8 ; d1 = 1 ; expt = 1m 9s ; ds = 2 ; td1 = 1,non_composite,1H Observe  ,visible,research_teaching,154,FALSE,active,FALSE,1,ads,ADS Group,TRUE,active,1,CDCl3,Chloroform-d,3,PhD,PhD Students,7ADB18,5,Alec,60
34062,29/07/2013 17:26,default,10,ARCHIVED,not_printed,emailed,10,10,00:00:57,1,proton.a.and,ns = 8 ; d1 = 1 ; expt = 1m 9s ; ds = 2 ; td1 = 1,non_composite,1H Observe  ,visible,research_teaching,45,FALSE,active,FALSE,8,doh,DOH Group,TRUE,active,1,CDCl3,Chloroform-d,2,PostDoc,Contract Research Staff,FF8636,5,Alec,60
34063,29/07/2013 17:26,default,10,ARCHIVED,not_printed,emailed,10,11,00:01:45,20,f19cpd.a.and,ns = 64 ; d1 = 1 ; expt = 2m 9s ; ds = 4 ; td1 = 1 ,non_composite,19F Observe with 1H decoupling - Full Range SW,visible,research_only,45,FALSE,active,FALSE,8,doh,DOH Group,TRUE,active,1,CDCl3,Chloroform-d,2,PostDoc,Contract Research Staff,FF8636,5,Alec,60
34064,29/07/2013 17:26,default,11,ARCHIVED,not_printed,emailed,10,10,00:00:57,1,proton.a.and,ns = 8 ; d1 = 1 ; expt = 1m 9s ; ds = 2 ; td1 = 1,non_composite,1H Observe  ,visible,research_teaching,45,FALSE,active,FALSE,8,doh,DOH Group,TRUE,active,1,CDCl3,Chloroform-d,2,PostDoc,Contract Research Staff,FF8636,5,Alec,60
34065,29/07/2013 17:26,default,11,ARCHIVED,not_printed,emailed,10,11,00:01:45,20,f19cpd.a.and,ns = 64 ; d1 = 1 ; expt = 2m 9s ; ds = 4 ; td1 = 1 ,non_composite,19F Observe with 1H decoupling - Full Range SW,visible,research_only,45,FALSE,active,FALSE,8,doh,DOH Group,TRUE,active,1,CDCl3,Chloroform-d,2,PostDoc,Contract Research Staff,FF8636,5,Alec,60
34066,29/07/2013 17:26,default,12,ARCHIVED,not_printed,emailed,10,10,00:53:32,11,c13_udeft.a.and,ns = 800 ; d1 = 3 ; expt = 50m 12s ; ds = 0 ; td1 = 1 ,non_composite,13C Observe with 1H decoupling - UDEFT,visible,research_only,45,FALSE,active,FALSE,8,doh,DOH Group,TRUE,active,1,CDCl3,Chloroform-d,2,PostDoc,Contract Research Staff,FF8636,5,Alec,60
34067,29/07/2013 17:26,default,12,ARCHIVED,not_printed,emailed,10,11,00:42:14,10,c13_deptq.a.and,ns = 800 ; d1 = 2 ; expt = 45m 36s; ds = 4 ; td1 = 1 ,non_composite,13C Observe with multiplicity editing - DEPTQ,visible,research_only,45,FALSE,active,FALSE,8,doh,DOH Group,TRUE,active,1,CDCl3,Chloroform-d,2,PostDoc,Contract Research Staff,FF8636,5,Alec,60
34072,29/07/2013 17:37,default,14,ARCHIVED,not_printed,emailed,10,10,00:00:57,300,proton-N.a.and,ns = 8 ; d1 = 1 ; expt = 57s ; ds = 2 ; td1 = 1 ,non_composite,1H Observe,hidden,research_only,50,FALSE,inactive,FALSE,14,njw,NJW Group,TRUE,active,1,CDCl3,Chloroform-d,0,default,Default,FFFFFF,5,Alec,60
34073,29/07/2013 17:37,ns#1600,14,ARCHIVED,not_printed,emailed,10,11,01:24:15,10,c13_deptq.a.and,ns = 800 ; d1 = 2 ; expt = 45m 36s; ds = 4 ; td1 = 1 ,non_composite,13C Observe with multiplicity editing - DEPTQ,visible,research_only,50,FALSE,inactive,FALSE,14,njw,NJW Group,TRUE,active,1,CDCl3,Chloroform-d,0,default,Default,FFFFFF,5,Alec,60
34074,29/07/2013 17:37,default,14,ARCHIVED,not_printed,emailed,10,12,00:05:35,301,gcosy-DQF-N.a.and,"ns = 1 ; d1 = 1s ; expt = 5m 33s ; ds = 16 ; td1 = 256  	",non_composite,2D 1H#1H-DQF-COSY (mag. mode),hidden,research_only,50,FALSE,inactive,FALSE,14,njw,NJW Group,TRUE,active,1,CDCl3,Chloroform-d,0,default,Default,FFFFFF,5,Alec,60
34075,29/07/2013 17:37,default,14,ARCHIVED,not_printed,emailed,10,13,00:10:32,101,ghsqc-ed.a.and,ns = 2 ; d1 = 1 ; expt = 10m 52s ; ds = 16 ; td1 = 256,non_composite,2D 1H#13C-gs-HSQC with multiplicity editing,visible,research_only,50,FALSE,inactive,FALSE,14,njw,NJW Group,TRUE,active,1,CDCl3,Chloroform-d,0,default,Default,FFFFFF,5,Alec,60
34076,29/07/2013 17:37,default,14,ARCHIVED,not_printed,emailed,10,14,00:32:32,102,ghmbc.a.and,ns = 4 ; d1 = 1.5 ; expt = 33m 46s ; ds = 16 ; td1 = 256,non_composite,2D 1H#13C-gs-HMBC,visible,research_only,50,FALSE,inactive,FALSE,14,njw,NJW Group,TRUE,active,1,CDCl3,Chloroform-d,0,default,Default,FFFFFF,5,Alec,60
34077,29/07/2013 17:37,default,15,ARCHIVED,not_printed,emailed,10,10,00:00:57,300,proton-N.a.and,ns = 8 ; d1 = 1 ; expt = 57s ; ds = 2 ; td1 = 1 ,non_composite,1H Observe,hidden,research_only,50,FALSE,inactive,FALSE,14,njw,NJW Group,TRUE,active,1,CDCl3,Chloroform-d,0,default,Default,FFFFFF,5,Alec,60
34078,29/07/2013 17:37,default,15,ARCHIVED,not_printed,emailed,10,11,00:42:14,10,c13_deptq.a.and,ns = 800 ; d1 = 2 ; expt = 45m 36s; ds = 4 ; td1 = 1 ,non_composite,13C Observe with multiplicity editing - DEPTQ,visible,research_only,50,FALSE,inactive,FALSE,14,njw,NJW Group,TRUE,active,1,CDCl3,Chloroform-d,0,default,Default,FFFFFF,5,Alec,60
34079,29/07/2013 17:37,default,15,ARCHIVED,not_printed,emailed,10,12,00:05:35,301,gcosy-DQF-N.a.and,"ns = 1 ; d1 = 1s ; expt = 5m 33s ; ds = 16 ; td1 = 256  	",non_composite,2D 1H#1H-DQF-COSY (mag. mode),hidden,research_only,50,FALSE,inactive,FALSE,14,njw,NJW Group,TRUE,active,1,CDCl3,Chloroform-d,0,default,Default,FFFFFF,5,Alec,60
